"rules","support","confidence","coverage","lift","count"
"192","{ChildBks=[0,1],RefBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"193","{ChildBks=[0,1],ItalAtlas=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"194","{RefBks=[0,1],ItalAtlas=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"195","{ChildBks=[0,1],RefBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"196","{ChildBks=[0,1],ItalArt=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"197","{RefBks=[0,1],ItalArt=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"198","{ChildBks=[0,1],RefBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"199","{ChildBks=[0,1],Florence=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"200","{RefBks=[0,1],Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"201","{ChildBks=[0,1],ArtBks=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"202","{ChildBks=[0,1],GeogBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"203","{ArtBks=[0,1],GeogBks=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"204","{ChildBks=[0,1],ArtBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"205","{ChildBks=[0,1],ItalCook=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"206","{ArtBks=[0,1],ItalCook=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"207","{ChildBks=[0,1],ArtBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"208","{ChildBks=[0,1],ItalAtlas=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"209","{ArtBks=[0,1],ItalAtlas=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"210","{ChildBks=[0,1],ArtBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"211","{ChildBks=[0,1],ItalArt=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"212","{ArtBks=[0,1],ItalArt=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"213","{ChildBks=[0,1],ArtBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"214","{ChildBks=[0,1],Florence=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"215","{ArtBks=[0,1],Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"216","{ChildBks=[0,1],GeogBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"217","{ChildBks=[0,1],ItalCook=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"218","{GeogBks=[0,1],ItalCook=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"219","{ChildBks=[0,1],GeogBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"220","{ChildBks=[0,1],ItalAtlas=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"221","{GeogBks=[0,1],ItalAtlas=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"222","{ChildBks=[0,1],GeogBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"223","{ChildBks=[0,1],ItalArt=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"224","{GeogBks=[0,1],ItalArt=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"225","{ChildBks=[0,1],GeogBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"226","{ChildBks=[0,1],Florence=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"227","{GeogBks=[0,1],Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"228","{ChildBks=[0,1],ItalCook=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"229","{ChildBks=[0,1],ItalAtlas=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"230","{ItalCook=[0,1],ItalAtlas=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"231","{ChildBks=[0,1],ItalCook=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"232","{ChildBks=[0,1],ItalArt=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"233","{ItalCook=[0,1],ItalArt=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"234","{ChildBks=[0,1],ItalCook=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"235","{ChildBks=[0,1],Florence=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"236","{ItalCook=[0,1],Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"237","{ChildBks=[0,1],ItalAtlas=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"238","{ChildBks=[0,1],ItalArt=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"239","{ItalAtlas=[0,1],ItalArt=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"240","{ChildBks=[0,1],ItalAtlas=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"241","{ChildBks=[0,1],Florence=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"242","{ItalAtlas=[0,1],Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"243","{ChildBks=[0,1],ItalArt=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"244","{ChildBks=[0,1],Florence=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"245","{ItalArt=[0,1],Florence=[0,1]} => {ChildBks=[0,1]}",1,1,1,1,2000
"246","{YouthBks=[0,1],CookBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"247","{YouthBks=[0,1],DoItYBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"248","{CookBks=[0,1],DoItYBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"249","{YouthBks=[0,1],CookBks=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"250","{YouthBks=[0,1],RefBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"251","{CookBks=[0,1],RefBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"252","{YouthBks=[0,1],CookBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"253","{YouthBks=[0,1],ArtBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"254","{CookBks=[0,1],ArtBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"255","{YouthBks=[0,1],CookBks=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"256","{YouthBks=[0,1],GeogBks=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"257","{CookBks=[0,1],GeogBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"258","{YouthBks=[0,1],CookBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"259","{YouthBks=[0,1],ItalCook=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"260","{CookBks=[0,1],ItalCook=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"261","{YouthBks=[0,1],CookBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"262","{YouthBks=[0,1],ItalAtlas=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"263","{CookBks=[0,1],ItalAtlas=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"264","{YouthBks=[0,1],CookBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"265","{YouthBks=[0,1],ItalArt=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"266","{CookBks=[0,1],ItalArt=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"267","{YouthBks=[0,1],CookBks=[0,1]} => {Florence=[0,1]}",1,1,1,1,2000
"268","{YouthBks=[0,1],Florence=[0,1]} => {CookBks=[0,1]}",1,1,1,1,2000
"269","{CookBks=[0,1],Florence=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"270","{YouthBks=[0,1],DoItYBks=[0,1]} => {RefBks=[0,1]}",1,1,1,1,2000
"271","{YouthBks=[0,1],RefBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"272","{DoItYBks=[0,1],RefBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"273","{YouthBks=[0,1],DoItYBks=[0,1]} => {ArtBks=[0,1]}",1,1,1,1,2000
"274","{YouthBks=[0,1],ArtBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"275","{DoItYBks=[0,1],ArtBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"276","{YouthBks=[0,1],DoItYBks=[0,1]} => {GeogBks=[0,1]}",1,1,1,1,2000
"277","{YouthBks=[0,1],GeogBks=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"278","{DoItYBks=[0,1],GeogBks=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"279","{YouthBks=[0,1],DoItYBks=[0,1]} => {ItalCook=[0,1]}",1,1,1,1,2000
"280","{YouthBks=[0,1],ItalCook=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"281","{DoItYBks=[0,1],ItalCook=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"282","{YouthBks=[0,1],DoItYBks=[0,1]} => {ItalAtlas=[0,1]}",1,1,1,1,2000
"283","{YouthBks=[0,1],ItalAtlas=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
"284","{DoItYBks=[0,1],ItalAtlas=[0,1]} => {YouthBks=[0,1]}",1,1,1,1,2000
"285","{YouthBks=[0,1],DoItYBks=[0,1]} => {ItalArt=[0,1]}",1,1,1,1,2000
"286","{YouthBks=[0,1],ItalArt=[0,1]} => {DoItYBks=[0,1]}",1,1,1,1,2000
